Game,Platform,Year,Genre,Time to Beat,Score,Status
1944: The Loop Master,Arcade,2000,,0.75,69,Backlog
8 Legs to Love,Pico 8,,,,,Backlog
A Plumber for All Seasons,Pico 8,2021,,3.54,92,Backlog
Action Fighter,Master System,1986,,1.35,63,Backlog
ActRaiser,SNES,1990,,4.89,78,Backlog
Advance Wars,Game Boy Advance,2001,,15.6,80,Backlog
Adventure Island IV,NES,1994,,2.09,77,Backlog
Adventure of Little Ralph,PlayStation,1999,,2.59,72,Backlog
Adventures of Yogi Bear,SNES,1994,,1.89,54,Beaten
Aero Fighters,SNES,1992,,0.8,70,Beaten
Aero Fighters 2,Neo Geo,1994,,0.81,69,Backlog
Aero Fighters 3,Neo Geo,1995,,0.66,68,Backlog
After Burner,NES,1987,,0.69,55,Backlog
After Burner,Master System,1987,,0.69,55,Backlog
Air Rescue,Master System,1992,,0.48,63,Beaten
Akira: Psycho Ball,PS2,,,,,Backlog
Alcahest,SNES,,,,,Backlog
Aleste,MSX,,,,,Backlog
Alex Kidd in Miracle World,NES,1986,,1.92,65,Backlog
Alex Kidd in Miracle World,Master System,1986,,1.92,65,Backlog
Alex Kidd In Shinobi World,Master System,1990,,0.77,69,Backlog
